name,release_date,budget,collection,genre,director
Bollywood Blockbuster,2025-10-01,50000000,125000000,Action-Comedy,Rajesh Singh
Movie A,2024-06-15,60000000,200000000,Action,Rahul Mehta
Movie B,2023-08-20,80000000,175000000,Drama,Anita Verma
Movie C,2022-05-10,90000000,60000000,Drama,Anita Verma
Movie D,2021-11-20,40000000,95000000,Comedy,Rajesh Singh
Movie E,2020-02-14,70000000,72000000,Romance,Rahul Mehta
Movie F,2019-07-05,120000000,100000000,Action,Ankit Sharma
Movie G,2018-12-25,30000000,150000000,Comedy,Priya Malhotra
Movie H,2017-08-18,50000000,48000000,Thriller,Anita Verma
Movie I,2016-03-30,20000000,90000000,Drama,Rajesh Singh
Movie J,2015-10-02,100000000,250000000,Action,Rahul Mehta
Movie K,2014-06-06,60000000,30000000,Horror,Sandeep Rao
Movie L,2013-01-26,45000000,130000000,Historical,Priya Malhotra

